% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
5.32E-7,94.99999999999999,0.532,0.8231219406416336
5.32E-7,100,0.532,0.8114626746199167
5.32E-7,104.99999999999999,0.532,0.8003659718423562
5.32E-7,109.99999999999999,0.532,0.7891003005495513
5.32E-7,115,0.532,0.778343120774351
5.32E-7,120,0.532,0.769224792605796
5.340000000000001E-7,94.99999999999999,0.5340000000000001,0.824741326208784
5.340000000000001E-7,100,0.5340000000000001,0.8128864553899068
5.340000000000001E-7,104.99999999999999,0.5340000000000001,0.8015638259312307
5.340000000000001E-7,109.99999999999999,0.5340000000000001,0.7900989111573
5.340000000000001E-7,115,0.5340000000000001,0.7791206888059158
5.340000000000001E-7,120,0.5340000000000001,0.7697565538654836
5.36E-7,94.99999999999999,0.536,0.8266127585190556
5.36E-7,100,0.536,0.8145884100523839
5.36E-7,104.99999999999999,0.536,0.8030597348986297
5.36E-7,109.99999999999999,0.536,0.7913966910610972
5.36E-7,115,0.536,0.7801872234084264
5.36E-7,120,0.536,0.7705526225753544
5.380000000000001E-7,94.99999999999999,0.538,0.8287341870578224
5.380000000000001E-7,100,0.538,0.8165804299048901
5.380000000000001E-7,104.99999999999999,0.538,0.8048813998677391
5.380000000000001E-7,109.99999999999999,0.538,0.7930435431111342
5.380000000000001E-7,115,0.538,0.7816194520804445
5.380000000000001E-7,120,0.538,0.7717202255801189
5.4E-7,94.99999999999999,0.54,0.8310869695212721
5.4E-7,100,0.54,0.8188524472051926
5.4E-7,104.99999999999999,0.54,0.8070278458954941
5.4E-7,109.99999999999999,0.54,0.7950511126041936
5.4E-7,115,0.54,0.7834440575650998
5.4E-7,120,0.54,0.7733032292891907
5.420000000000001E-7,94.99999999999999,0.542,0.8336416746149905
5.420000000000001E-7,100,0.542,0.8213808239076464
5.420000000000001E-7,104.99999999999999,0.542,0.8094809347054654
5.420000000000001E-7,109.99999999999999,0.542,0.7974086051040964
5.420000000000001E-7,115,0.542,0.7856587289068117
5.420000000000001E-7,120,0.542,0.7753090664816491
5.44E-7,94.99999999999999,0.544,0.8363613924893055
5.44E-7,100,0.544,0.8241331832997724
5.44E-7,104.99999999999999,0.544,0.8122119672429586
5.44E-7,109.99999999999999,0.544,0.8000917937244869
5.44E-7,115,0.544,0.7882440814759897
5.44E-7,120,0.544,0.7777239217157518
5.46E-7,94.99999999999999,0.546,0.8392035622443677
5.46E-7,100,0.546,0.8270711974985252
5.46E-7,104.99999999999999,0.546,0.8151855174129925
5.46E-7,109.99999999999999,0.546,0.8030682343790283
5.46E-7,115,0.546,0.7911705296328785
5.46E-7,120,0.546,0.7805214541134311
5.480000000000001E-7,94.99999999999999,0.548,0.8421208648164674
5.480000000000001E-7,100,0.548,0.8301521568301107
5.480000000000001E-7,104.99999999999999,0.548,0.8183616590181666
5.480000000000001E-7,109.99999999999999,0.548,0.806300314058246
5.480000000000001E-7,115,0.548,0.7944022997220904
5.480000000000001E-7,120,0.548,0.7836678777381695
5.5E-7,94.99999999999999,0.55,0.8450614746639864
5.5E-7,100,0.55,0.833329779384132
5.5E-7,104.99999999999999,0.55,0.8216972318498593
5.5E-7,109.99999999999999,0.55,0.8097470305270782
5.5E-7,115,0.55,0.7978997871149062
5.5E-7,120,0.55,0.787124945968868
5.520000000000001E-7,94.99999999999999,0.552,0.8479688132199164
5.520000000000001E-7,100,0.552,0.8365545141283194
5.520000000000001E-7,104.99999999999999,0.552,0.8251465118126818
5.520000000000001E-7,109.99999999999999,0.552,0.8133650110912212
5.520000000000001E-7,115,0.552,0.8016209353224215
5.520000000000001E-7,120,0.552,0.7908517080108634
5.54E-7,94.99999999999999,0.554,0.850780848475235
5.54E-7,100,0.554,0.8397734709993087
5.54E-7,104.99999999999999,0.554,0.8286614915633762
5.54E-7,109.99999999999999,0.554,0.8171090616792045
5.54E-7,115,0.554,0.8055220265505098
5.54E-7,120,0.554,0.7948055350527127
5.560000000000001E-7,94.99999999999999,0.556,0.8534289087792888
5.560000000000001E-7,100,0.556,0.8429300358002871
5.560000000000001E-7,104.99999999999999,0.556,0.8321918852073104
5.560000000000001E-7,109.99999999999999,0.556,0.8209324140231872
5.560000000000001E-7,115,0.556,0.8095581103688896
5.560000000000001E-7,120,0.556,0.7989427060247584
5.58E-7,94.99999999999999,0.5579999999999999,0.8558359056306173
5.58E-7,100,0.5579999999999999,0.8459631741440314
5.58E-7,104.99999999999999,0.5579999999999999,0.8356849129590057
5.58E-7,109.99999999999999,0.5579999999999999,0.8247867658692049
5.58E-7,115,0.5579999999999999,0.8136832030145218
5.58E-7,120,0.5579999999999999,0.8032187239053786
5.6E-7,94.99999999999999,0.56,0.8579137735118673
5.6E-7,100,0.56,0.848806383507021
5.6E-7,104.99999999999999,0.56,0.839084882704556
5.6E-7,109.99999999999999,0.56,0.8286221642556629
